Date,Open,High,Low,Close,Adj Close,Volume
2022-08-30,59.921936,60.249805,58.024979,58.649494,58.422867,5495874
2022-08-31,58.868073,59.164715,57.267761,57.330212,57.108681,8199681
2022-09-01,57.181889,57.181889,55.761124,57.049179,56.828735,6386426
2022-09-02,57.603436,58.048401,56.291958,56.541763,56.323277,5171397
2022-09-06,56.596409,56.705700,55.534737,56.330990,56.113323,5165889
2022-09-07,56.128025,57.564404,55.987511,57.439499,57.217545,4384991
2022-09-08,56.627636,57.829819,56.268539,57.587822,57.365295,4637348
2022-09-09,58.181110,58.524590,57.517563,57.798595,57.575256,8615750
2022-09-12,58.087433,59.711163,57.970337,58.797813,58.570610,9306849
2022-09-13,57.189697,57.658081,55.128807,55.300545,55.086857,9237035
2022-09-14,55.191257,55.425449,53.614365,54.668228,54.456985,7955394
2022-09-15,54.473068,55.261513,53.669010,53.793911,53.586048,6311871
2022-09-16,51.053864,51.990631,50.882122,51.826698,51.626431,18329573
2022-09-19,51.202187,52.685402,51.100704,52.341919,52.139660,6420628
2022-09-20,51.873535,52.459015,51.475410,51.982826,51.781963,6687845
2022-09-21,52.318501,52.357533,50.866512,50.913349,50.716614,8112317
2022-09-22,50.741608,51.295864,50.366901,51.022640,50.825485,9054492
2022-09-23,50.390320,50.804058,49.609680,50.390320,50.195606,10474481
2022-09-26,50.374706,51.647152,50.124901,50.234192,50.102177,13392343
2022-09-27,50.624512,50.983608,49.578453,50.327869,50.195606,10053288
2022-09-28,50.733803,50.788448,50.109291,50.320061,50.187817,8528514
2022-09-29,49.781422,50.046837,48.337238,48.969555,48.840862,11272416
2022-09-30,48.899296,49.406715,48.306011,48.329430,48.202419,10142958
2022-10-03,48.992973,50.257610,48.516785,49.648712,49.518234,6960698
2022-10-04,50.647930,52.802498,50.640125,52.724434,52.585869,9929415
2022-10-05,52.060890,53.247463,51.561279,52.646370,52.508015,7444403
2022-10-06,52.092117,52.677597,51.358315,51.693989,51.558140,6347483
2022-10-07,51.217800,51.350506,50.039032,50.398125,50.265678,5471920
2022-10-10,50.780640,51.225605,50.007805,50.725994,50.592690,4600327
2022-10-11,50.343483,50.944576,49.242779,49.960968,49.829670,6784048
2022-10-12,49.718971,51.069477,49.227165,50.538643,50.405827,6862189
2022-10-13,49.718971,53.364559,49.328648,53.036690,52.897308,10230578
2022-10-14,53.317722,53.692429,52.451210,52.747852,52.609234,7267497
2022-10-17,53.825138,54.793129,53.419205,53.575333,53.434536,6585749
2022-10-18,54.793129,55.534737,54.590164,55.191257,55.046215,7826526
2022-10-19,54.855583,55.409836,54.129585,55.058548,54.913853,6710519
2022-10-20,55.238094,55.901638,54.512100,54.621391,54.477848,7669475
2022-10-21,54.644810,56.908665,54.449650,56.846214,56.696823,8262194
2022-10-24,56.986729,58.017174,56.807182,57.267761,57.117260,8710288
2022-10-25,58.548008,58.743168,55.487900,56.986729,56.836967,12326551
2022-10-26,57.213116,59.820454,57.135052,58.907104,58.752293,10355604
2022-10-27,59.562843,60.601093,59.242779,59.328648,59.172733,8065048
2022-10-28,59.867290,61.178768,59.781422,61.147541,60.986847,6901900
